Distrito;NACE1;NACE2;Numero_Empregados;Num_anos_disponiveis_base;Variacao_das_vendas;Variacao_resultado_operacional;Variacao_do_activo;Variacao_dos_capitais_proprios;Variacao_do_ativo_circulante;Variacao_das_existencias;Variacao_do_imobilizado;Fundo_de_maneio;REPV;Prazo_medio_de_recebimento;Liquidez_geral;Liquidez_reduzida;Solvabilidade;Autonomia_financeira;Endividamento;Estrutura_financeira;Passivo_de_curto_prazo_a_dividir_passivo_total;Custos_dos_encargos_financeiros_dividir_resultado_operacional;Rendibilidade_operacional_vendas;Rendibilidade_liquida_das_vendas;Rendibilidade_do_ativo;Rendibilidade_capitais_proprios;Passivo_curto_prazo_dividir_vendas;Peso_das_amortizacoes_dividir_vendas;Peso_encargos_financeiros_dividir_vendas;Produtividade_por_trabalhador;Certificacao_legal_contas;Insolvencia
5;13;139;211;10;-0.031928013;-0.038234337;-0.048246091;0.006409146;-0.040525966;-0.163566911;-0.071623067;15572068;4.589290441;91.84438387;6.888248549;5.345567441;8.089329165;0.88998088;0.11001912;0.123619645;1;2.389709409;0.023687039;0.033281674;0.025923583;0.029314935;0.167083519;0.034081107;0.0099121;1.534814987;1;0
1;14;141;88;10;0.04555107;-0.038125791;-0.050767738;0.023254085;-0.197908017;-0.407532189;0.313701529;523278;17.42178826;65.65903753;1.387702074;1.059628463;1.305270614;0.566211449;0.433788551;0.766124656;1;3.042231408;0.036922829;0.016763082;0.041561958;0.075110532;0.143949192;0.033895348;0.012136759;1.510149738;1;0
5;14;141;183;8;0.16099478;0.009824328;0.019865119;0.012947283;-0.050185694;-0.2606727;0.129355484;417151;10.70869339;37.40925571;1.85358622;1.25852868;2.263662667;0.693596219;0.306404408;0.441761935;1;2.823324022;0.007789573;0.004540546;0.008865404;0.012947283;0.509676597;0.012464023;0.002759008;1.042635659;1;0
5;14;141;19;8;-0.030501888;0.067258722;0.196649992;0.203972304;0.229037899;0.269477448;-0.19569078;2602116;6.384083944;96.68124953;3.305550707;2.589671026;2.484123686;0.712983783;0.287016217;0.402556445;1;72.27710469;0.180422674;0.134864708;0.176906332;0.298730952;0.069929684;0.01891817;0.002496263;3.904489819;1;0
5;13;139;117;10;0.016926203;0.103532973;-0.174829441;0.037151769;-0.185081771;-0.106882393;-0.063648095;1611496;2.642612291;114.5084076;1.483474811;0.688957066;0.640653867;0.390486844;0.609512974;1.560905274;1;1.013985526;0.039482028;0.010930086;0.013987612;0.037151769;0.174618029;0.023031314;0.038937467;1.439418377;1;0
1;14;141;112;10;0.065675287;0.201796971;0.029394129;0.043174576;0.051797948;0.101352231;-0.042184165;2140001;6.761220758;111.9433316;3.317801902;2.547869627;3.263488464;0.765450091;0.234549654;0.306420571;1;7.077124701;0.193247723;0.131608837;0.160693196;0.218996717;0.258568198;0.022854354;0.027305966;1.86183273;1;0
1;14;141;61;6;0.306670695;0.202595368;0.086232709;0.339819363;0.089979851;0.328536651;0.06915842;474503;7.400960711;71.45694759;1.287414359;0.778358593;0.564554553;0.36084044;0.63915956;1.771308007;1;10.82819344;0.077506291;0.040594652;0.097753332;0.362963219;0.125632887;0.019270542;0.007157823;1.636507662;1;0
1;14;141;47;8;-0.037203564;0.310612456;-0.10439847;0.247631809;-0.121009339;-0.221631621;0.058152058;1492460;23.37203579;89.39658437;1.750138974;1.559805145;0.96544041;0.491208307;0.508791948;1.03579671;1;9.275151343;0.066301713;0.043075759;0.097495752;0.247631809;0.077424893;0.015016356;0.007148316;2.060742085;1;0
5;14;141;49;9;0.113843167;0.641257982;-0.13204715;-0.333799543;-0.169939242;-0.136587477;-0.040837302;-124323;7.654048315;60.06138758;0.937361918;0.56343036;0.387340077;0.279196098;0.720803539;2.581710645;1;-2.890510216;-0.040520168;-0.067809404;-0.139891123;-0.333799543;0.161696031;0.038011818;0.014018344;0.90998601;1;0
5;14;141;74;10;0.363529911;1.377418553;0.172867822;0.182609613;0.864912866;-0.191359258;-0.62565741;1412642;13.54741161;61.95957039;4.109313577;3.539104079;3.824181315;0.792710942;0.207289058;0.261493877;1;22.66699977;0.226204594;0.164642413;0.263638525;0.393310395;0.240475142;0.029082752;0.009979468;2.099603897;1;0
