id_match_api,dt_match,p_dt_match,id_match_status,id_match_competition,cd_season,cd_round,t1_all_total5_fl_match_win,t1_all_total5_fl_match_draw,t1_all_total5_fl_match_lost,t1_all_total10_fl_match_win,t1_all_total10_fl_match_draw,t1_all_total10_fl_match_lost,t2_all_total5_fl_match_win,t2_all_total5_fl_match_draw,t2_all_total5_fl_match_lost,t2_all_total10_fl_match_win,t2_all_total10_fl_match_draw,t2_all_total10_fl_match_lost,t1_home_total5_fl_match_win,t1_home_total5_fl_match_draw,t1_home_total5_fl_match_lost,t1_home_total10_fl_match_win,t1_home_total10_fl_match_draw,t1_home_total10_fl_match_lost,t2_away_total5_fl_match_win,t2_away_total5_fl_match_draw,t2_away_total5_fl_match_lost,t2_away_total10_fl_match_win,t2_away_total10_fl_match_draw,t2_away_total10_fl_match_lost,t1_h2h_total5_fl_match_win,t1_h2h_total5_fl_match_draw,t1_h2h_total5_fl_match_lost,t1_h2h_total10_fl_match_win,t1_h2h_total10_fl_match_draw,t1_h2h_total10_fl_match_lost,t2_h2h_total5_fl_match_win,t2_h2h_total5_fl_match_draw,t2_h2h_total5_fl_match_lost,t2_h2h_total10_fl_match_win,t2_h2h_total10_fl_match_draw,t2_h2h_total10_fl_match_lost,t1_h2h_home_total5_fl_match_win,t1_h2h_home_total5_fl_match_draw,t1_h2h_home_total5_fl_match_lost,t1_h2h_home_total10_fl_match_win,t1_h2h_home_total10_fl_match_draw,t1_h2h_home_total10_fl_match_lost,t2_h2h_away_total5_fl_match_win,t2_h2h_away_total5_fl_match_draw,t2_h2h_away_total5_fl_match_lost,t2_h2h_away_total10_fl_match_win,t2_h2h_away_total10_fl_match_draw,t2_h2h_away_total10_fl_match_lost,t1_fl_match_win
4568086,2022-05-25 19:00:00,2022-05-25,1,126,no_eliteserien_2022,8,4,1,0,6,2,0,2,1,2,3,1,3,4,0,0,4,0,0,1,0,3,1,0,3,1,3,1,3,4,3,1,3,1,3,4,3,2,2,1,2,3,1,1,2,2,1,3,2,1
5034525,2022-05-25 18:00:00,2022-05-25,1,1089,ae_arabian_gulf_league_21-22,26,2,1,1,3,3,3,1,1,3,6,1,3,2,2,0,4,3,2,2,1,2,3,2,5,1,0,4,1,2,7,4,0,1,7,2,1,1,1,3,1,3,6,3,1,1,6,3,1,1
5034528,2022-05-25 18:00:00,2022-05-25,1,1089,ae_arabian_gulf_league_21-22,26,3,1,1,7,1,2,2,1,2,4,1,5,3,0,2,7,1,2,1,2,2,4,3,3,1,2,2,3,3,4,2,2,1,4,3,3,2,1,2,5,2,2,2,1,2,2,2,5,0
5041034,2022-05-25 16:00:00,2022-05-25,1,825,tn_ligue_1_21-22,7,1,2,2,2,4,4,2,1,2,5,3,2,2,2,1,5,2,2,4,0,1,4,3,3,2,2,1,3,4,3,1,2,2,3,4,3,2,1,2,2,4,2,2,1,2,2,4,2,1
4603773,2022-05-25 11:00:00,2022-05-25,1,895,jp_j.league_2022,15,2,1,2,3,4,3,1,3,1,4,3,3,2,1,2,2,2,3,1,3,1,1,4,1,1,2,2,3,3,4,2,2,1,4,3,3,2,1,2,3,1,4,2,1,2,4,1,3,0
4604378,2022-05-25 11:00:00,2022-05-25,1,410,jp_j.league_2_2022,18,2,1,2,2,4,4,3,1,1,6,2,2,1,3,1,2,3,3,1,2,2,1,4,3,1,1,3,1,3,4,3,1,1,4,3,1,1,1,2,1,1,2,2,1,1,2,1,1,0
4604382,2022-05-25 11:00:00,2022-05-25,1,410,jp_j.league_2_2022,18,1,0,4,3,1,6,1,1,3,3,3,4,2,1,2,4,1,2,2,1,2,4,3,2,1,3,1,4,4,2,1,3,1,2,4,4,2,1,2,3,2,2,2,1,2,2,2,3,0
5063544,2022-05-24 14:00:00,2022-05-24,1,1036,za_premier_soccer_league_21-22,-1,2,3,0,3,5,2,1,3,1,3,3,4,2,3,0,3,7,0,2,1,2,3,5,2,1,2,2,4,3,3,2,2,1,3,3,4,3,0,2,3,0,2,2,0,3,2,0,3,0
5024192,2022-05-23 19:00:00,2022-05-23,1,1092,sa_saudi_prof._league_21-22,27,3,1,1,7,2,1,4,0,1,8,1,1,5,0,0,9,0,1,4,0,1,6,3,1,1,1,3,1,3,6,3,1,1,6,3,1,1,1,3,2,2,3,3,1,1,3,2,2,0
4819831,2022-05-23 18:00:00,2022-05-23,1,75,dk_1st_division_21-22,9,2,0,3,4,1,5,1,1,3,4,1,5,2,1,2,6,2,2,1,1,3,3,3,4,1,1,3,3,1,4,3,1,1,4,1,3,2,0,2,2,0,2,2,0,2,2,0,2,1
